dataset,traj_id,missing_count,player_mae_m,player_rmse_m,b23_mae_m,b23_rmse_m,b28_mae_m,b28_rmse_m,player_minus_b23_mae_m,player_minus_b28_mae_m
8,15289,52,103.22757755583618,154.17691117000925,59.792537951418495,78.26380694724286,50.909500076425374,68.43534230071441,43.43503960441768,52.3180774794108
8,15653,52,211.14330977089114,239.42072669659282,68.05941990474761,81.04473749027609,77.61590085534247,94.0436193571922,143.08388986614352,133.52740891554868
8,16539,46,134.86435097343897,196.36015132544608,57.767382958148495,70.6778724273505,52.60957410790087,64.81320089599826,77.09696801529049,82.2547768655381
16,90,52,362.8607505218211,556.2184779915519,198.16623661259226,274.58948707513406,231.28293532247375,334.36608347431525,164.69451390922885,131.57781519934736
16,145,68,731.3556024433024,936.8495858190283,204.38970503101788,281.64908121569425,150.0387896825551,220.45160843840085,526.9658974122844,581.3168127607473
16,169,87,495.0400778745568,619.060080504286,148.8701862738822,177.2394201624166,125.44963934861015,146.5031049076446,346.1698916006746,369.59043852594664
16,205,60,453.53813426546617,584.3821832594235,188.92607070327313,235.95659569376397,180.7704416984701,223.27991959168267,264.61206356219304,272.76769256699606
16,341,53,199.44425301123323,241.45807020120853,177.19661506528624,206.12556099543679,184.13318561457712,210.54813311292227,22.24763794594699,15.311067396656114
16,662,69,357.33766252196216,447.00731222540315,185.58957304696543,241.31006936545472,188.6173996012102,250.5804656215751,171.74808947499673,168.72026292075196
16,1385,52,275.1915438395836,364.5162649741595,138.31977374924026,161.3956490387625,142.7447681593117,163.88559011207465,136.87177009034332,132.44677568027188
16,1443,90,513.1619548655664,593.1102665306279,216.73825768264044,319.00490358426765,165.79688950068996,215.1736401807653,296.42369718292593,347.3650653648764
16,3796,65,766.2105077978316,1094.0197966277635,136.6936960048506,167.47582086606042,137.12014244845344,172.83537579391722,629.516811792981,629.0903653493782
16,4633,53,445.3527886328314,713.8367822408285,156.82611386659002,186.49312867836187,163.8976623183415,194.3425810438846,288.5266747662414,281.4551263144899
16,5831,80,540.8068967525935,637.585824332735,186.5122442999514,234.24632348620045,168.32086047378763,214.30851448060486,354.29465245264214,372.48603627880584
16,6084,53,213.11209899482608,253.8717597743263,147.312652825433,167.06076815896046,155.13428596311428,171.80838762963202,65.7994461693931,57.977813031711804
